symbol,link
ANTFRIBEAR,https://www.moneycontrol.com/india/stockpricequote/bearings/abcbearings/ABC02
ABGSHIP,https://www.moneycontrol.com/india/stockpricequote/shipping/abgshipyard/ABG01
ABHISHEK,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/abhishekcorporation/AC22
AILIMITED,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abhishekintegrations/AI83
ABMINTLLTD,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abminternational/ABM02
ABSLAMC,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/adityabirlasunlifeamc/ABS
BSLNIFTY,https://www.moneycontrol.com/india/stockpricequote/absln50etf/adityabirlasunlifenifty50etf/BSL03
HEALTHY,https://www.moneycontrol.com/india/stockpricequote/etf/adityabirlasunlifeniftyhealthcareetf/ABS02
SILVER,https://www.moneycontrol.com/india/stockpricequote/abslsilveretf/adityabirlasunlifesilveretf/ABS04
ABSLLIQUID,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/abslliquid/ABSLL14518
ABSLBANETF,https://www.moneycontrol.com/india/stockpricequote/abslnbanketf/adityabirlasunlifeniftybanketf/ABSLB13987
ABSLNN50ET,https://www.moneycontrol.com/india/stockpricequote/abslnn50et/adityabirlasunlifeniftynext50etf/ABSLN7339
BSLSENETFG,https://www.moneycontrol.com/india/stockpricequote/abslspbsesetf/adityabirlasunlifespbsesensexetf/ABS01
ACC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/acc/ACC06
ACCELYA,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/accelyasolutionsindia/KAL
ACCORD,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/accordsynergy/AS22
ACCURACY,https://www.moneycontrol.com/india/stockpricequote/shipping/accuracyshipping/AS26
ACEINTEG,https://www.moneycontrol.com/india/stockpricequote/misccommercialservices/aceintegratedsolutions/AIS
AUTOCORP,https://www.moneycontrol.com/india/stockpricequote/acgl/automobilecorpgoaacgl/ACG
ACROPETAL,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21
ACE,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
ADANIENSOL,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanienergysolutions/AT22
ADANIENT,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
ADANIGREEN,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
ADANIPORTS,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
ADANIPOWER,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
ATGL,https://www.moneycontrol.com/india/stockpricequote/adanitotalgas/adanitotalgas/ADG01
AWL,https://www.moneycontrol.com/india/stockpricequote/consumerfood/adaniwilmar/AW
KRONECOMM,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07
ADADH,https://www.moneycontrol.com/india/stockpricequote/medicalequipmentsuppliesaccessories/adeshwarmeditex/AM10
ADFFOODS,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
ADHUNIK,https://www.moneycontrol.com/india/stockpricequote/steelspongeiron/adhunikmetaliks/AM9
ABCIL,https://www.moneycontrol.com/india/stockpricequote/chemicals/adityabirlachemicals/ABC08
ABFRL,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR
ADITYASPIN,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/adityaspinners/AS01
ADORWELD,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
ADROITINFO,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/adroitinfotech/CC22
AMTL,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/advancemeteringtechnology/AMT
ADVENZYMES,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/advancedenzymetechnologies/AET
ADVANIHOTR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
ADVANTA,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/advanta/AI39
AEGISCHEM,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
AEROFLEX,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aeroflexindustries/AI87
AETHER,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/aetherindustries/AI84
AFFLE,https://www.moneycontrol.com/india/stockpricequote/affleindia/affleindia/AI82
ARVINDFASN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionslimited/ARVIN54248
AFTEK,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aftek/A14
AGARWALFT,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/agarwalfloatglassindia/AFG
AGARIND,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGI,https://www.moneycontrol.com/india/stockpricequote/agigreenpac/agigreenpac/HSI02
AGNI,https://www.moneycontrol.com/india/stockpricequote/renewables/agnigreenpower/AGP
AGRITECH,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agritechindia/ATI02
AGRODUTCH,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/agrodutchindustries/ADI02
AGROPHOS,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
ATFL,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF
AGSTRA,https://www.moneycontrol.com/india/stockpricequote/onlineservices/agstransacttechnologies/ATT
SCAPDVR,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ahdvbch/SCAPD17
AHIMSA,https://www.moneycontrol.com/india/stockpricequote/plastics/ahimsaindustries/AI44
AHLADA,https://www.moneycontrol.com/india/stockpricequote/ahladaengineer/ahladaengineers/AE21
AHLUCONT,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
AICHAMP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aichampdanyindustries/AIC02
AIAENG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
AIMCOPEST,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/aimcopesticides/AP03
AIRAN,https://www.moneycontrol.com/india/stockpricequote/airan/airan/A09
AIROLAM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/airolam/AL08
AJANTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
AJMERA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ajmerarealtyinfraindia/ARI03
AJOONI,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01
AJRINFRA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01
AKASH,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76
AKG,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20
AKI,https://www.moneycontrol.com/india/stockpricequote/akiindia/akiindia/AI80
AKSHOPTFBR,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/akshoptifibre/AO03
AKSHAR,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/aksharspintex/ASL
AKSHARCHEM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
AKZOINDIA,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
ALANKIT,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alankit/EGJ
ALBERTDAVD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
ALCHEM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alchemist/A12
ALEMBICLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
APLLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
ALFREDHERB,https://www.moneycontrol.com/india/stockpricequote/engineering/alfredherbertindia/AHI
ALICON,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
ALKALI,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11
ALKEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
ALKYLAMINE,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkylamineschemicals/AAC
ALLETEC,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alletechnologies/AT26
ALBK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/allahabadbank/AB15
ALLCARGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
ATL,https://www.moneycontrol.com/india/stockpricequote/groundfreightlogisticsservices/allcargoterminals/AT29
ADSL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allieddigitalservices/ADS01
ALLSEC,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allsectechnologies/ALL01
ALMONDZ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/almondzglobalsecurities/AGS
ALOKINDS,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/alokindustries/AI54
ALPA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11
ALPHAGEO,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/alphageoindia/AI10
ALPINEHOU,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/alpinehousingdevcorp/AHD
ALPSINDUS,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/alpsindustries/AI12
AMARAJABAT,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB
AMARJOTHI,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/amarjothispinningmills/ASM01
AMBASARABH,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ambalalsarabhaienterprise/ASE
AMBANIORG,https://www.moneycontrol.com/india/stockpricequote/ambaniorganics/ambaniorganics/AO
AMBER,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amberenterprisesindialimited/AEI01
AMBICAAGAR,https://www.moneycontrol.com/india/stockpricequote/ambicaagar/ambicaagar/AA9
AMBIKCO,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ambikacottonmills/ACM04
AMBUJACEM,https://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18
AMDIND,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
AMEYA,https://www.moneycontrol.com/india/stockpricequote/engineering/ameyaprecisionengineers/APE01
AMFORGEIND,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/amforgeindustries/AI14
AMIORG,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/amiorganics/AO05
AMIABLE,https://www.moneycontrol.com/india/stockpricequote/logistics/amiablelogisticsindia/ALI06
ASIL,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/amitspinningindustries/ASI03
AMJLAND,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
AMRUTANJAN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01
ARTEMISMED,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/artemismedicareservices/ARTEM54291
AMTEKAUTO,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
ANANDRATHI,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/anandrathiwealth/ARW
ANANTRAJ,https://www.moneycontrol.com/india/stockpricequote/anantraj/anantraj/ARI
ANDHRABANK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/andhrabank/AB14
ACL,https://www.moneycontrol.com/india/stockpricequote/cementmajor/andhracement/AC16
ANDHRAPAP,https://www.moneycontrol.com/india/stockpricequote/paper/andhrapaperlimited/APP
ANDHRAPET,https://www.moneycontrol.com/india/stockpricequote/chemicals/andhrapetro/AP09
ANDHRSUGAR,https://www.moneycontrol.com/india/stockpricequote/andhrsugar/theandhrasugar/AS18
ANDREWYU,https://www.moneycontrol.com/india/stockpricequote/trading/andrewyulecompany/AYC
ANGIND,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/angindustries/ANG
ANGELONE,https://www.moneycontrol.com/india/stockpricequote/angelone/angelone/ABL03
AISL,https://www.moneycontrol.com/india/stockpricequote/engineering/aniintegratedservices/AIS02
ANIKINDS,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/anikindustries/AI57
ASILIND,https://www.moneycontrol.com/india/stockpricequote/steelcrhrstrips/anilspecialsteelindustries/AI26
APCL,https://www.moneycontrol.com/india/stockpricequote/anjaniportland/anjaniportlandcement/APC
ANLON,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anlontechnologysolutions/ATS01
ANNAPURNA,https://www.moneycontrol.com/india/stockpricequote/consumerfood/annapurnaswadisht/AS28
ANSALHSG,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalhousing/AHC
ANSALAPI,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalpropertiesinfrastructure/API07
ANTGRAPHIC,https://www.moneycontrol.com/india/stockpricequote/printingstationery/antarctica/A16
AWHCL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/antonywastehandlingcell/AWH
ANUP,https://www.moneycontrol.com/india/stockpricequote/anupeng/theanupengineering/ANUP54246
ANURAS,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/anupamrasayanindia/ARI02
ANZEN,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anzen/ANZEN11945
APARINDS,https://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40
APCL-RE,https://www.moneycontrol.com/india/stockpricequote/cement/anjaniportlandcementre/APC01
APCOTEXIND,https://www.moneycontrol.com/india/stockpricequote/rubber/apcotexindustries/AI58
APEX,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/apexfrozenfoods/AFF
APLAPOLLO,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
APLAB,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/aplab/A02
APOLLOHOSP,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE
APOLLO,https://www.moneycontrol.com/india/stockpricequote/apollomicrosy/apollomicrosystems/AMS
APOLLOPIPE,https://www.moneycontrol.com/india/stockpricequote/plastics/apollopipes/ALF02
APOLSINHOT,https://www.moneycontrol.com/india/stockpricequote/apollosindoori/apollosindoorihotels/ASH
APOLLOTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
APTECHT,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/aptech/A11
APTUS,https://www.moneycontrol.com/india/stockpricequote/financehousing/aptusvaluehousingfinanceindia/AVH
ARAVALISEC,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/aravalisecuritiesfinance/ASF01
ACI,https://www.moneycontrol.com/india/stockpricequote/chemicals/archeanchemicalindustries/ACI05
ADL,https://www.moneycontrol.com/india/stockpricequote/archidplydecor/archidplydecor/ADL
ARCHIDPLY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
ARCHIES,https://www.moneycontrol.com/india/stockpricequote/printingstationery/archies/A15
ARCOTECH,https://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/arcotech/A17
ARHAM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arhamtechnologies/AT25
ARIES,https://www.moneycontrol.com/india/stockpricequote/fertilisers/ariesagro/AA02
ARIHANTACA,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arihantacademy/AA18
ARIHANTCAP,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/arihantcapitalmarkets/ACM02
ARIHANT,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/arihantfoundationshousing/AFH
ARIHANTSUP,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/arihantsuperstructures/SMC07
ARISTO,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aristobiotechlifescience/ABL04
ARMANFIN,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/armanfinancialservices/AFS04
AROGRANITE,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
ARROWGREEN,https://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP
ARROWTEX,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/arrowtextiles/AT20
ARSHIYA,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/arshiya/AI60
ARSSINFRA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/arssinfrastructureprojects/AIP
ARTNIRMAN,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/artnirman/AN
AGLSL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/artemisgloballifescience/AGL03
ARTSONENGG,https://www.moneycontrol.com/india/stockpricequote/engineering/artsonengineering/AE10
ARUNASUGAR,https://www.moneycontrol.com/india/stockpricequote/hotels/arunahotels/AH06
ARVEE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arveelaboratoriesltd/AL18
ARVIND,https://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18
AFL-RE,https://www.moneycontrol.com/india/stockpricequote/arvindfasre/arvindfashionsre/AFR
AFLPP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arvindfashionspp/AFP03
ARVINDREM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/arvindremedies/AR06
ARVSMART,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/arvindsmartspaces/AI72
ASAHIINDIA,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01
ASAHISONG,https://www.moneycontrol.com/india/stockpricequote/dyespigments/asahisongwoncolors/ASC01
SATIA,https://www.moneycontrol.com/india/stockpricequote/educationalinstitutions/ascensiveeducare/AE23
ASCOM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ascom/ASCOM15030
AIFL,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/ashapuraintimatesfashion/AIF01
ASHAPURMIN,https://www.moneycontrol.com/india/stockpricequote/miningminerals/ashapuraminechem/AM07
ASHIANA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ashianahousing/AH07
ASHIMASYN,https://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/ashima/A10
ASHOKALCO,https://www.moneycontrol.com/india/stockpricequote/chemicals/ashokalcochem/AAC01
ASHOKLEY,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
ASHOKA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
ASHOKAMET,https://www.moneycontrol.com/india/stockpricequote/diversified/ashokametcastlimited/AML04
SHREEASHTA,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shreeashtavinayakcinevision/SAC03
ASIANENE,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/asianenergyservices/AOS
ASIAN-RE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asiangranitoindiare/AGI05
ASIANTILES,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04
AHLEAST,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelseast/AHE01
AHLWEST,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelswest/AHW
ASIANHOTNR,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH
ASIANPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
ASIAN-RE1,https://www.moneycontrol.com/india/stockpricequote/ceramicsmarblegranitesanitaryware/asiangranitoindiare1/AGI06
ASLIND,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aslindustries/AI77
ASMS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asms/ASMS14867
ASPINWALL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27
ASSAMCO,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/assamcompanyindia/AC12
ASALCBR,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/associatedalcoholbreweries/AAB
ASOCSTONE,https://www.moneycontrol.com/india/stockpricequote/miningminerals/associatedstoneindustrieskotah/ASI01
ASTEC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13
ASTERDM,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
ASTRAMICRO,https://www.moneycontrol.com/india/stockpricequote/astramicrowave/astramicrowaveproducts/AMP01
ASTRAL,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02
ASTRAZEN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
ASTRON,https://www.moneycontrol.com/india/stockpricequote/paper/astronpaperboardmillltd/APB
ATALREAL,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/atalrealtech/ARL
ATAM,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/atamvalves/AV02
ATLANTA,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/atlanta/A9
ATLASCYCLE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
ATNINTER,https://www.moneycontrol.com/india/stockpricequote/atnint/atninternational/AI50
ATUL,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
ATULAUTO,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08
ATVPROJ,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/atvprojectsindia/ATV
AUBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/ausmallfinancebank/ASF02
AURDIS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aurangabaddistillery/AD05
AURIONPRO,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurionprosolutions/PS12
AUROIMPEX,https://www.moneycontrol.com/india/stockpricequote/chemicals/auroimpexchemicals/AIC01
AUROPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
AURUM,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurumproptech/M19
AURUM-RE,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/aurumproptechre/APR03
AURUMPP,https://www.moneycontrol.com/india/stockpricequote/itservicesconsulting/aurumproptechpp/APP04
AUSOMENT,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ausomenterprise/CE06
AUSTRAL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/australcokeprojects/ACP02
ASAL,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotivestampingsassemblies/ASA01
AUTOBEES,https://www.moneycontrol.com/india/stockpricequote/autobees/nipponindianiftyautoetf/NIN01
AUTOIND,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autolineindustries/AI59
AUTOLITIND,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31
AUTOAXLES,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
AUTOPALIND,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autopalindustries/AI32
AUTORIDFIN,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/autoridersfinance/AF20
AVADHSUGAR,https://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03
AVALON,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/avalontechnologies/AT27
AVANTIFEED,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
DMART,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
AVG,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/avglogistics/ALL02
AVONMORE,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/avonmorecapitalmanagementservices/AC19
AVROIND,https://www.moneycontrol.com/india/stockpricequote/avroindia/avroindia/AM09
AVSL,https://www.moneycontrol.com/india/stockpricequote/avslindustries/avslindustries/AI75
AVTNPL,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/avtnaturalproducts/AVT02
AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
AXISGOLD,https://www.moneycontrol.com/india/stockpricequote/axisgoldetf/axismutualfundgoldetf/AMF02
AXISBNKETF,https://www.moneycontrol.com/india/stockpricequote/etf/axisniftybanketf/ANB
AXISBPSETF,https://www.moneycontrol.com/india/stockpricequote/axisbpsetf/axisniftyaaabondplussdlapr20265050etf/AMF04
